40.6244239219126,-2.38116897084781,108,9097,Lamu,"Lamu West",Hongwe,att6OMwShzH,Lfxw0DfD4jN,NjWSbQTwys4
34.5356487863212,0.299510219017963,1678,37609,Kakamega,"Mumias East Sub County","Lusheya Lubinu Ward",V3ZV8jsqN0Z,FBteTV1eqB6,BjC1xL40gHo
34.6097323666267,0.316783426015325,1679,31004,Kakamega,"Mumias East Sub County","Malaha Isongo Makunga Ward",LFTRMczCZWE,FBteTV1eqB6,BjC1xL40gHo
34.5713144259809,0.347687391640414,1680,32343,Kakamega,"Mumias East Sub County","East Wanga Ward",ygKYcUMKsy2,FBteTV1eqB6,BjC1xL40gHo
34.4160351428759,0.368873538883519,1681,35812,Kakamega,"Matungu Sub County","Koyonzo Ward",gBgXSPT0eml,ssbO49f0iLN,BjC1xL40gHo
34.5019393000013,0.424866356371337,1682,28821,Kakamega,"Matungu Sub County","Kholera Ward",U7mZiE3Hvys,ssbO49f0iLN,BjC1xL40gHo
34.5583898943913,0.426808837641704,1683,19778,Kakamega,"Matungu Sub County","Khalaba Ward",ldYP7L1GA6f,ssbO49f0iLN,BjC1xL40gHo
37.7556573055346,-3.26750362788238,111,18065,"Taita Taveta","Taveta Sub County","Chala Ward",uxxdF69wmFs,jNzRdAwjaQ1,QyGNX2DpR4h
34.507161775347,-1.23038091950839,1485,20982,Migori,"Kuria West Sub County","Mokerero Ward",CpQX2anrUJk,jtBjNpL9FXS,fVra3Pwta0Q
37.9786235575343,-3.51689594399604,115,9271,"Taita Taveta","Taveta Sub County","Mata Ward",m1IPtRRgcm9,jNzRdAwjaQ1,QyGNX2DpR4h
34.4737629964281,-1.16898096165344,1487,22562,Migori,"Kuria West Sub County","Tagare Ward",EFFhTqzNEYT,jtBjNpL9FXS,fVra3Pwta0Q
38.3781419874207,-3.39089181375116,116,19668,"Taita Taveta","Wundanyi Sub County","Wundanyi/Mbale Ward",mkbKajFxEDT,AM36DdkZ36Y,QyGNX2DpR4h
38.1807784725672,-3.02302956234415,118,16934,"Taita Taveta","Wundanyi Sub County","Wumingu/Kishushe Ward",MWZrkgY93fj,AM36DdkZ36Y,QyGNX2DpR4h
