X,Y,gid,pop2009,county,subcounty,ward,uid,scuid,cuid
36.8403474803393,-1.27208247598667,2082.0,37062.000000000000000,Nairobi,Starehe  Sub County,Pangani Ward,DR0BSs3eYeC,nKHlZyN0lt9,jkG3zaihdSs
36.8377510334694,-1.2817846896948,2083.0,10488.000000000000000,Nairobi,Starehe  Sub County,Ziwani/kariokor,nRw6kIlJ23L,nKHlZyN0lt9,jkG3zaihdSs
36.8491907807562,-1.26160306068218,2086.0,20463.000000000000000,Nairobi,Mathare  Sub County,Hospital Ward,QzN4B49WE91,gh2kzpOFCeF,jkG3zaihdSs
36.8611024210233,-1.26254441588659,2087.0,28260.000000000000000,Nairobi,Mathare  Sub County,Mabatini Ward,rD8Z7AgYLaS,gh2kzpOFCeF,jkG3zaihdSs
36.8714999790763,-1.25803527219663,2089.0,34523.000000000000000,Nairobi,Mathare  Sub County,Ngei Ward,tsmsPb6qMFa,gh2kzpOFCeF,jkG3zaihdSs
36.8482565921789,-1.26490584121831,2090.0,38374.000000000000000,Nairobi,Mathare  Sub County,Mlango Kubwa,lvETWuhiIMi,gh2kzpOFCeF,jkG3zaihdSs
36.8763951635009,-1.2568860173141,2091.0,33824.000000000000000,Nairobi,Mathare  Sub County,Kiamaiko Ward,tgAB60BL0u9,gh2kzpOFCeF,jkG3zaihdSs
36.7553955349164,-1.24841085009446,2092.0,31242.000000000000000,Nairobi,Westlands  Sub County,Kitisuru Ward,TpTOC5VcUGe,f1T0Ltob8VQ,jkG3zaihdSs
36.8817434249755,-0.698628399539717,2093.0,23192.000000000000000,Muranga,Kangema Sub County,Kanyenya-ini Ward,lJIdDl7HaCT,U9CLTNIwehR,ahwTMNAJvrL
37.0171114721618,-0.687626654349528,2094.0,34524.000000000000000,Muranga,Kangema Sub County,Muguru Ward,Mdn0FWVc1MX,U9CLTNIwehR,ahwTMNAJvrL
36.8791369707682,-0.66091279014681,2095.0,19272.000000000000000,Muranga,Kangema Sub County,Rwathia Ward,UYC51WCz1R2,U9CLTNIwehR,ahwTMNAJvrL
37.0018926335806,-0.65569860538508,2096.0,33731.000000000000000,Muranga,Mathioya Sub County,Gitugi Ward,UgrVrVp78rA,u7Gkh63FYe4,ahwTMNAJvrL
40.0882962848599,1.77251182511899,168.0,23381.000000000000000,WAJIR,Wajir East Sub County,Wagberi Ward,bvqz4r93cJm,uov0yFMw9Qm,CeLsrJOH0g9
35.2600951493397,0.393042881447365,2151.0,17347.000000000000000,Uasin Gishu,Kapseret Sub County,Ngeria Ward,ymhb4pW8ryv,u9yagZzK49q,pZqQRRW7PHP
35.2553887911112,0.476603845673607,2153.0,51041.000000000000000,Uasin Gishu,Kapseret Sub County,Langas Ward,ZBnsczLPwr2,u9yagZzK49q,pZqQRRW7PHP
39.4756174483975,2.42661514803215,181.0,19322.000000000000000,WAJIR,Eldas Sub County,Eldas Ward,jJEKwJhftfv,x6Z1sBeiyqQ,CeLsrJOH0g9
35.2790547864113,0.474701148537918,2154.0,22028.000000000000000,Uasin Gishu,Kesses Sub County,Racecourse Ward,ydfRAgF1oDr,dKHnvt7gleN,pZqQRRW7PHP
35.3648653204513,0.381723383232904,2155.0,27657.000000000000000,Uasin Gishu,Kesses Sub County,Cheptiret/kipchamo Ward,ydWuSvAtVs1,dKHnvt7gleN,pZqQRRW7PHP
35.3400695421781,0.259532239984515,2156.0,41084.000000000000000,Uasin Gishu,Kesses Sub County,Tulwet/chiyat Ward,M2Y9JtFNd0u,dKHnvt7gleN,pZqQRRW7PHP
35.4371545419639,0.130485546685465,2157.0,37683.000000000000000,Uasin Gishu,Kesses Sub County,Tarakwa Ward,HrhIAUzgxqq,dKHnvt7gleN,pZqQRRW7PHP
40.285154983649,-1.08881073516889,152.0,5316.000000000000000,GARISSA,Fafi Sub County,Bura Ward,kqTPEb1RsMy,RScEHA3V38d,uyOrcHZBpW0
35.1524755780235,-0.996451171043166,2167.0,23405.000000000000000,Narok,Transmara East Sub County,Kapsasian Ward,D9H082cdWsj,PGTkGnIAZuy,kqJ83J2D72s
35.7580368739423,-0.591447844341611,2168.0,20035.000000000000000,Narok,Narok North Sub County,Olposimoru Ward,gzHtPrtr6nU,fNROL0qm8De,kqJ83J2D72s
35.8294537284609,-0.677106648902591,2169.0,21045.000000000000000,Narok,Narok North Sub County,Olokurto Ward,pTkgy00IQrp,fNROL0qm8De,kqJ83J2D72s
35.8320453784155,-1.11775117826944,2170.0,47517.000000000000000,Narok,Narok North Sub County,Narok Town Ward,MAdyJPs0RUr,fNROL0qm8De,kqJ83J2D72s
35.8263953945678,-0.942114513234796,2171.0,20206.000000000000000,Narok,Narok North Sub County,Nkareta Ward,zoVBqNpy6Sw,fNROL0qm8De,kqJ83J2D72s
39.6871801499323,2.41405576043099,182.0,21080.000000000000000,WAJIR,Eldas Sub County,Della Ward,FpUMvmJqkG2,x6Z1sBeiyqQ,CeLsrJOH0g9
40.8499884819092,0.578417637193388,186.0,8693.000000000000000,WAJIR,Wajir South Sub County,Dadaja bulla Ward,qLYEefMIqQ0,U7KFQn3Up3o,CeLsrJOH0g9
39.7529350471625,0.804120811174064,187.0,27968.000000000000000,WAJIR,Wajir South Sub County,Habasswein Ward,HO38wbafDJg,U7KFQn3Up3o,CeLsrJOH0g9
40.0199478335466,1.14052720842155,188.0,22631.000000000000000,WAJIR,Wajir South Sub County,Lagboghoi south Ward,feWwmqlVMEq,U7KFQn3Up3o,CeLsrJOH0g9
36.7140643204028,-1.2541058967254,2205.0,24295.000000000000000,Kiambu,Kabete Sub County,Uthiru Ward,AJKSRemTmee,lb5LzWiUX8Y,qKzosKQPl6G
36.6477399608598,-1.27710890347101,2206.0,20420.000000000000000,Kiambu,Kikuyu Sub County,Karai,rdJwRuqqUHC,jOVcLeZQSsS,qKzosKQPl6G
36.5775206278852,-1.25261497827846,2207.0,18655.000000000000000,Kiambu,Kikuyu Sub County,Nachu Ward,gFLRh6j7pBd,jOVcLeZQSsS,qKzosKQPl6G
36.6371824395225,-1.19135778766845,2208.0,26823.000000000000000,Kiambu,Kikuyu Sub County,Sigona Ward,Rm2JR4F01rw,jOVcLeZQSsS,qKzosKQPl6G
36.6619543277221,-1.25772037699308,2209.0,32422.000000000000000,Kiambu,Kikuyu Sub County,Kikuyu Ward,cbYznphRVBi,jOVcLeZQSsS,qKzosKQPl6G
36.6897019072954,-1.2536288532282,2210.0,27082.000000000000000,Kiambu,Kikuyu Sub County,Kinoo,WoFjxj90Kle,jOVcLeZQSsS,qKzosKQPl6G
36.6236801552857,-1.08181302607694,2211.0,21202.000000000000000,Kiambu,Limuru Sub County,Bibirioni Ward,cSNzNEfbQfk,xhVi71INcFs,qKzosKQPl6G
36.6275977322743,-1.12681704184897,2212.0,31211.000000000000000,Kiambu,Limuru Sub County,Limuru Central Ward,DwOhEdMGpB7,xhVi71INcFs,qKzosKQPl6G
36.5746701483845,-1.16636446067568,2213.0,26387.000000000000000,Kiambu,Limuru Sub County,Ndeiya Ward,lRFhjTLImNu,xhVi71INcFs,qKzosKQPl6G
36.6885830645753,-1.10624045059151,2214.0,28348.000000000000000,Kiambu,Limuru Sub County,Limuru East Ward,JbltwguSYWn,xhVi71INcFs,qKzosKQPl6G
36.6852568450703,-1.15710988997799,2215.0,23984.000000000000000,Kiambu,Limuru Sub County,Ngecha Tigoni Ward,tp0mFiSv7ar,xhVi71INcFs,qKzosKQPl6G
40.8162295291814,-1.04276367898653,153.0,9522.000000000000000,GARISSA,Fafi Sub County,Dekaharia Ward,RXFwsNh7egy,RScEHA3V38d,uyOrcHZBpW0
40.8796059254939,1.14907745955806,190.0,15692.000000000000000,WAJIR,Wajir South Sub County,Diif Ward,jXyH8e9KzGe,U7KFQn3Up3o,CeLsrJOH0g9
36.947888734631,-1.1552540953003,2240.0,41596.000000000000000,Kiambu,Ruiru Sub County,Biashara Ward,uQXYQokmIzX,TPRNJqSm4lK,qKzosKQPl6G
37.9627325906383,-0.047219979765381,308.0,15574.000000000000000,THARAKA-NITHI,Tharaka South Sub County,Nkondi Ward,Om9OC4PNQJo,Yz1V5Cx8CO2,T4urHM47nlm
37.900383571778,-0.281606985787829,309.0,34679.000000000000000,THARAKA-NITHI,Tharaka South Sub County,Chiakagira Ward,rZ0Io1sU38M,Yz1V5Cx8CO2,T4urHM47nlm
37.941313389321,-0.160884775615231,310.0,29869.000000000000000,THARAKA-NITHI,Tharaka South Sub County,Marimanti Ward,IcAegRcGuV6,Yz1V5Cx8CO2,T4urHM47nlm
37.4728961164001,-0.421589130948266,311.0,27925.000000000000000,EMBU,Manyatta  Sub County,Ruguru-Ngandori Ward,ncD8mIBXHRn,IPOMRXiYjxr,PFu8alU2KWG
37.5356059026128,-0.512560017693738,312.0,18999.000000000000000,EMBU,Manyatta  Sub County,Kithimu Ward,lMTHF7AFCSP,IPOMRXiYjxr,PFu8alU2KWG
37.4217464796077,-0.316311514753163,313.0,28511.000000000000000,EMBU,Manyatta  Sub County,Nginda Ward,juDN8sSnk3O,IPOMRXiYjxr,PFu8alU2KWG
37.4891699730924,-0.537017104131848,314.0,33468.000000000000000,EMBU,Manyatta  Sub County,Mbeti north Ward,vEAFtHnPDrX,IPOMRXiYjxr,PFu8alU2KWG
37.4479441142892,-0.505967672989753,315.0,32185.000000000000000,EMBU,Manyatta  Sub County,Kirimari Ward,GjGpfHjSGbO,IPOMRXiYjxr,PFu8alU2KWG
37.5041721300427,-0.48127185279968,316.0,13544.000000000000000,EMBU,Manyatta  Sub County,Gaturi south Ward,FUD1yUgctME,IPOMRXiYjxr,PFu8alU2KWG
37.51246883654,-0.435154281499619,317.0,24398.000000000000000,EMBU,Manyatta  Sub County,Gaturi north Ward,s3eywuLj65m,IPOMRXiYjxr,PFu8alU2KWG
37.6131056567469,-0.491208760351475,318.0,20426.000000000000000,EMBU,Runyenjes  Sub County,Kaagari South Ward,QpKvk4GkYRI,kMSLkN4nsRl,PFu8alU2KWG
37.5727002375347,-0.435257018106806,319.0,23600.000000000000000,EMBU,Runyenjes  Sub County,Central ward,wZh1OhsZAK2,kMSLkN4nsRl,PFu8alU2KWG
37.5238815795938,-0.391435662067919,320.0,24952.000000000000000,EMBU,Runyenjes  Sub County,Kaagari North Ward,kiVPb44vhiR,kMSLkN4nsRl,PFu8alU2KWG
36.9469064035851,-1.19444514012302,2242.0,8744.000000000000000,Kiambu,Ruiru Sub County,Kahawa/sukari Ward,Lc6GluslY9h,TPRNJqSm4lK,qKzosKQPl6G
36.9335210471411,-1.2090603205287,2244.0,46351.000000000000000,Kiambu,Ruiru Sub County,Kiuu Ward,PN1D8Nm8ufZ,TPRNJqSm4lK,qKzosKQPl6G
38.5459948322283,-0.585777883102503,331.0,18447.000000000000000,KITUI,Mwingi North Sub County,Ngomeni Ward,zR0sWpigMWE,KXM9VnhuLfP,j8o6iO4Njsi
38.2035727864706,-0.533449264987941,332.0,40375.000000000000000,KITUI,Mwingi North Sub County,Kyuso Ward,WJLrTzwzXNb,KXM9VnhuLfP,j8o6iO4Njsi
36.9216154709706,-1.21269484114343,2245.0,44760.000000000000000,Kiambu,Ruiru Sub County,Mwiki Ward,KoIp1GKz0UI,TPRNJqSm4lK,qKzosKQPl6G
36.9829130817762,-1.21651939547864,2246.0,11934.000000000000000,Kiambu,Ruiru Sub County,Mwihoko Ward,dnLaU3RrCnp,TPRNJqSm4lK,qKzosKQPl6G
36.7824780373882,-1.06610550652412,2247.0,36378.000000000000000,Kiambu,Githunguri Sub County,Githunguri Ward,NFNF57gkxbf,E7tkGikenbD,qKzosKQPl6G
35.0914517245507,-0.872031483755624,2248.0,37149.000000000000000,Bomet,Sotik Sub County,Ndanai/abosi Ward,ygECklrrzGE,KyuSYunELJI,HMNARUV2CW4
35.1347329427065,-0.695922232910027,2249.0,32234.000000000000000,Bomet,Sotik Sub County,Chemagel Ward,LK2nY0OUCDG,KyuSYunELJI,HMNARUV2CW4
35.1732721003377,-0.769606288814857,2250.0,32708.000000000000000,Bomet,Sotik Sub County,Kipsonoi Ward,p5Z6myFYERX,KyuSYunELJI,HMNARUV2CW4
35.209371450626,-0.676191203180612,2251.0,40368.000000000000000,Bomet,Sotik Sub County,Kapletundo Ward,G6aklDidwGe,KyuSYunELJI,HMNARUV2CW4
35.08619784682,-0.715880692039685,2252.0,24830.000000000000000,Bomet,Sotik Sub County,Rongena/manaret Ward,Xj8EsCO27Jv,KyuSYunELJI,HMNARUV2CW4
35.2304264676759,-0.837165207159915,2253.0,29458.000000000000000,Bomet,Chepalungu Sub County,Kong'asis Ward,IBgG8lef22L,PUhMyfDD2xp,HMNARUV2CW4
35.3158180570015,-0.830278836961524,2254.0,35420.000000000000000,Bomet,Chepalungu Sub County,Nyangores Ward,mareBenlFqk,PUhMyfDD2xp,HMNARUV2CW4
35.2972873237032,-0.940916571835709,2255.0,32818.000000000000000,Bomet,Chepalungu Sub County,Sigor Ward,KFjbUWezAnU,PUhMyfDD2xp,HMNARUV2CW4
35.2072989347215,-0.970605656437859,2256.0,34922.000000000000000,Bomet,Chepalungu Sub County,Chebunyo Ward,m6Ko9GT996i,PUhMyfDD2xp,HMNARUV2CW4
